Method,Clusters,KMeans_Silhouette,KMeans_Cal,KMeans_Dave,Hierarchical_Silhouette,Hierarchical_Cal,Hierarchical_Dave,MeanShift_Silhouette,MeanShift_Cal,MeanShift_Dave
No Processing,3,0.5595823478987215,497.00487620805814,0.549557597464291,0.5644796401732071,552.851711505718,0.5357343073560251,,,
No Processing,4,0.5669477723599623,696.839035649436,0.548665888691409,0.5606726948394264,670.6259906052811,0.5535739500227292,,,
No Processing,5,0.5081797474674725,745.1974292213944,0.5744186247681753,0.5074843044233789,684.2226128880217,0.5513145248753538,,,
Normalized,3,0.2848589191898987,70.94000800315118,1.3891879777181648,0.2774439826952265,67.6474675044098,1.4185919431857326,,,
Normalized,4,0.25422758316007776,52.758535305911124,1.6954175827443765,0.225836659334758,51.46414629882823,1.7886506143765986,,,
Normalized,5,0.18362105107698137,45.856456495506265,1.9120310619672225,0.18674235566758707,43.67927204722387,1.922855460049061,,,
Transformed,3,0.3012404890756277,73.11131495870433,1.3609734457072762,0.2897748832893604,68.95605882834,1.3854842493552166,,,
Transformed,4,0.25567115306200866,55.82138455097534,1.7692655201146716,0.25173142727273834,53.130276736450504,1.704426199116898,,,
Transformed,5,0.21738755681318186,46.594643866337314,1.9251014326914622,0.22941929105146994,44.792548183519166,1.8093489570386327,,,
PCA,3,0.5602652844394511,497.57352480921406,0.5487317536911426,0.5655806398804166,553.5316544515356,0.5342839088928276,,,
PCA,4,0.5682455569704515,698.3397467780853,0.5474703366393994,0.5619198165355055,672.0227741756653,0.5523295795815453,,,
PCA,5,0.5654745581425671,705.3049721096587,0.482023333993861,0.5009132358875239,685.2852597974249,0.5563448455874214,,,
T+N,3,0.3012404890756277,73.11131495870433,1.3609734457072766,0.2897748832893604,68.95605882834,1.3854842493552166,,,
T+N,4,0.25567115306200866,55.82138455097531,1.7692655201146719,0.25173142727273834,53.130276736450504,1.704426199116898,,,
T+N,5,0.21738755681318186,46.59464386633731,1.9251014326914622,0.22941929105146994,44.792548183519166,1.8093489570386325,,,
T+N+PCA,3,0.573455277605289,351.334256989453,0.5850409248290761,0.5574209620428465,319.78867109331543,0.6111425303363394,,,
T+N+PCA,4,0.5062158231972684,331.9270183006832,0.7124267901339666,0.47395499737274366,297.2286660269916,0.7634545601780521,,,
T+N+PCA,5,0.44291300427898456,297.8899415625434,0.7910670436284765,0.4425698796049631,303.0447713551753,0.8540260862318064,,,
No Processing,MeanShift,,,,,,,0.5024921259394888,454.0589434652176,0.5561495856687338
Normalized,MeanShift,,,,,,,0.22447619269259034,6.435434458992323,1.3200588029456868
Transformed,MeanShift,,,,,,,0.29266826423447734,3.0154274111215487,0.5622785974844675
T+N,MeanShift,,,,,,,0.29266826423447734,3.0154274111215487,0.5622785974844674
T+N+PCA,MeanShift,,,,,,,0.5753735551286004,352.21237871575966,0.5888462220940942
